concept	n_spellings	dialects	reach
abs	2	std,vensim	linked
agecount	1	std	std-only
allocate	3	pysd,std,vensim	linked
allocate_available	1	vensim	vensim-only
arccos	2	std,vensim	linked
arcsin	2	std,vensim	linked
arctan	2	std,vensim	linked
arraymax	4	std,vensim	linked
arraymean	1	std	std-only
arraymin	4	std,vensim	linked
arrayprod	3	std,vensim	linked
arraystddev	1	std	std-only
arraysum	3	std,vensim	linked
attrcount	1	std	std-only
attrmax	1	std	std-only
attrmean	1	std	std-only
attrmin	1	std	std-only
attrstddev	1	std	std-only
beta	2	std,vensim	linked
binomial	1	std	std-only
capacity	1	std	std-only
cgrowth	1	std	std-only
clocktime	1	std	std-only
combinations	1	std	std-only
cos	2	std,vensim	linked
counter	1	std	std-only
ctflow	1	std	std-only
ctmax	1	std	std-only
ctmean	1	std	std-only
ctmin	1	std	std-only
ctstddev	1	std	std-only
cycletime	1	std	std-only
delay	3	pysd,std,vensim	linked
delay1	4	pysd,std,vensim	linked
delay3	4	pysd,std,vensim	linked
delay_conveyor	2	std,vensim	linked
delayn	3	pysd,std,vensim	linked
demand_at_price	1	vensim	vensim-only
depreciate_straightline	1	vensim	vensim-only
derivn	1	std	std-only
dt	3	std,vensim	linked
endtime	4	std,vensim	linked
endval	1	std	std-only
exp	2	std,vensim	linked
expbound	1	std	std-only
exprnd	1	std	std-only
factorial	1	std	std-only
find_market_price	1	vensim	vensim-only
forcst	3	pysd,std,vensim	linked
fv	1	std	std-only
game	1	vensim	vensim-only
gamma	1	std	std-only
gamma_ln	1	vensim	vensim-only
gammaln	1	std	std-only
geometric	1	std	std-only
get_data_at_time	2	std,vensim	linked
get_data_between_times	1	vensim	vensim-only
get_data_last_time	2	std,vensim	linked
get_data_mean	2	std,vensim	linked
get_direct_constants	1	vensim	vensim-only
get_direct_data	2	std,vensim	linked
get_direct_lookups	1	vensim	vensim-only
get_direct_subscript	1	vensim	vensim-only
get_xls_constants	1	vensim	vensim-only
get_xls_data	1	vensim	vensim-only
get_xls_lookups	1	vensim	vensim-only
history	1	std	std-only
if_then_else	1	vensim	vensim-only
inf	1	std	std-only
init	5	pysd,std,vensim	linked
initial_time	3	std,vensim	linked
int	2	std,vensim	linked
integ	3	pysd,std,vensim	linked
interpolate	1	std	std-only
invert_matrix	1	vensim	vensim-only
invnorm	1	std	std-only
isnan	1	std	std-only
ln	2	std,vensim	linked
log10	2	std,vensim	linked
logistic	1	std	std-only
logisticbount	1	std	std-only
lognormal	1	std	std-only
lookup	3	std,vensim	linked
lookup_backward	1	vensim	vensim-only
lookup_forward	1	vensim	vensim-only
lookuparea	2	std,vensim	linked
lookupinv	2	std,vensim	linked
lookupmax	1	std	std-only
lookupmean	1	std	std-only
lookupmin	1	std	std-only
lookuprandom	1	std	std-only
loopscore	1	std	std-only
matrixinvert	1	std	std-only
maxsoft	1	std	std-only
mean	1	std	std-only
minsoft	1	std	std-only
mlpann	1	std	std-only
mod	1	std	std-only
modulo	2	std,vensim	linked
montecarlo	1	std	std-only
nan	2	std,vensim	linked
negbinomial	1	std	std-only
normal	2	std,vensim	linked
normalcdf	1	std	std-only
normalpink	2	std,vensim	linked
npv	2	std,vensim	linked
ostate	1	std	std-only
pareto	1	std	std-only
pathscore	1	std	std-only
percent	1	std	std-only
percentile	1	std	std-only
permutations	1	std	std-only
pi	1	std	std-only
pmt	1	std	std-only
poisson	1	std	std-only
power	1	vensim	vensim-only
previous	1	std	std-only
proctime	1	std	std-only
pulse	1	std	std-only
pulse_train	1	vensim	vensim-only
pulse_x	1	vensim	vensim-only
pv	1	std	std-only
quantum	1	vensim	vensim-only
ramp	1	std	std-only
ramp_x	1	vensim	vensim-only
random	1	std	std-only
rank	1	std	std-only
rework	1	std	std-only
round	1	std	std-only
runcount	1	std	std-only
runcum	1	std	std-only
runmax	1	std	std-only
runmean	1	std	std-only
runmin	1	std	std-only
safediv	5	pysd,std,vensim	linked
sample_if_true	1	vensim	vensim-only
self	1	std	std-only
sensiruncount	1	std	std-only
shortestpath	1	std	std-only
sin	2	std,vensim	linked
size	2	std,vensim	linked
smth1	4	pysd,std,vensim	linked
smth3	4	pysd,std,vensim	linked
smthn	3	pysd,std,vensim	linked
softwareversion	1	std	std-only
sqrt	2	std,vensim	linked
stddev	1	std	std-only
step	1	vensim	vensim-only
step_x	1	std	std-only
supply_at_price	1	vensim	vensim-only
systemchange	1	std	std-only
tan	2	std,vensim	linked
throughput	1	std	std-only
time	2	std,vensim	linked
time_base	2	std,vensim	linked
traversalcost	1	std	std-only
trend	3	pysd,std,vensim	linked
triangular	1	std	std-only
uniform	3	std,vensim	linked
vector_elm_map	2	std,vensim	linked
vector_reorder	2	std,vensim	linked
vector_select	2	std,vensim	linked
vector_sort_order	2	std,vensim	linked
weibull	1	std	std-only
with_lookup	2	std,vensim	linked
