concept	dialect	spelling	checked_vs_vensim	differs	notes
allocate	pysd	AllocateByPriorityStructure			
safediv	pysd	CallStructure(xidz)			
safediv	pysd	CallStructure(zidz)			
delay	pysd	DelayFixedStructure			
delayn	pysd	DelayNStructure			
delay1	pysd	DelayStructure(order=1)			
delay3	pysd	DelayStructure(order=3)			
forcst	pysd	ForecastStructure			
init	pysd	InitialStructure			
integ	pysd	IntegStructure			
smthn	pysd	SmoothNStructure			
smth1	pysd	SmoothStructure(order=1)			
smth3	pysd	SmoothStructure(order=3)			
trend	pysd	TrendStructure			
abs	std	ABS			spec 3.5: 1 parameter(s)
agecount	std	AGECOUNT	no	no	
allocate	std	ALLOCATE	no	no	
arccos	std	ARCCOS			spec 3.5: 1 parameter(s)
arcsin	std	ARCSIN			spec 3.5: 1 parameter(s)
arctan	std	ARCTAN			spec 3.5: 1 parameter(s)
arraymax	std	ARRAYMAX	no	yes	
arraymean	std	ARRAYMEAN	no	no	
arraymin	std	ARRAYMIN	no	yes	
arrayprod	std	ARRAYPROD	no	yes	
arraystddev	std	ARRAYSTDDEV	no	no	
arraysum	std	ARRAYSUM	no	yes	
attrcount	std	ATTRCOUNT	no	no	
attrmax	std	ATTRMAX	no	no	
attrmean	std	ATTRMEAN	no	no	
attrmin	std	ATTRMIN	no	no	
attrstddev	std	ATTRSTDDEV	no	no	
beta	std	BETA	no	no	vensim: conversion is code (ConvertFunction_BETA), not a rename; gap in Vensim's XMILE reader as of 2026-08-21
binomial	std	BINOMIAL	no	no	vensim: conversion is code (ConvertFunction_BINOMIAL), not a rename
capacity	std	CAPACITY	no	no	
cgrowth	std	CGROWTH	no	no	
clocktime	std	CLOCKTIME	no	no	
combinations	std	COMBINATIONS	no	no	
cos	std	COS			spec 3.5: 1 parameter(s)
counter	std	COUNTER	no	no	
ctflow	std	CTFLOW	no	no	
ctmax	std	CTMAX	no	no	
ctmean	std	CTMEAN	no	no	
ctmin	std	CTMIN	no	no	
ctstddev	std	CTSTDDEV	no	no	
cycletime	std	CYCLETIME	no	no	
