concept	xmile std	stella	vensim	pysd	sde	xmutil
abs	ABS		ABS		C+JS	to XMILE
agecount		AGECOUNT				
allocate		ALLOCATE	ALLOCATE BY PRIORITY	AllocateByPriorityStructure	C only	to XMILE
allocate_available			ALLOCATE AVAILABLE		C only	
arccos	ARCCOS		ARCCOS		C+JS	to XMILE
arcsin	ARCSIN		ARCSIN		C+JS	to XMILE
arctan	ARCTAN		ARCTAN		C+JS	to XMILE
arraymax	MAX	ARRAYMAX	MAX | VMAX		C+JS	both ways
arraymean		ARRAYMEAN				
arraymin	MIN	ARRAYMIN	MIN | VMIN		C+JS	both ways
arrayprod		ARRAYPROD | PROD	PROD			to XMILE
arraystddev		ARRAYSTDDEV				
arraysum		ARRAYSUM | SUM	SUM		C+JS	to XMILE
attrcount		ATTRCOUNT				
attrmax		ATTRMAX				
attrmean		ATTRMEAN				
attrmin		ATTRMIN				
attrstddev		ATTRSTDDEV				
beta		BETA	RANDOM BETA			
binomial		BINOMIAL				
capacity		CAPACITY				
cgrowth		CGROWTH				
clocktime		CLOCKTIME				
combinations		COMBINATIONS				
cos	COS		COS		C+JS	to XMILE
counter		COUNTER				
ctflow		CTFLOW				
ctmax		CTMAX				
ctmean		CTMEAN				
ctmin		CTMIN				
ctstddev		CTSTDDEV				
cycletime		CYCLETIME				
delay	DELAY		DELAY FIXED	DelayFixedStructure	C only	both ways
delay1	DELAY1		DELAY1 | DELAY1I	DelayStructure(order=1)	C+JS	both ways
delay3	DELAY3		DELAY3 | DELAY3I	DelayStructure(order=3)	C+JS	both ways
delay_conveyor			DELAY CONVEYOR			to XMILE (coins DELAY_CONVEYOR)
delayn	DELAYN		DELAY N	DelayNStructure	no	both ways
demand_at_price			DEMAND AT PRICE		C only	
depreciate_straightline			DEPRECIATE STRAIGHTLINE		partial	
derivn		DERIVN				
dt	DT		TIME STEP		C+JS	to Vensim (coins TIME_STEP)
endtime	STOPTIME		FINAL TIME		C+JS	to Vensim (coins ENDTIME, FINAL_TIME)
endval		ENDVAL				
exp	EXP		EXP		C+JS	to XMILE
expbound		EXPBOUND				
exprnd	EXPRND				no	
factorial		FACTORIAL				
find_market_price			FIND MARKET PRICE		C only	
forcst	FORCST		FORECAST	ForecastStructure	no	both ways
fv		FV				
game			GAME		C+JS	
gamma		GAMMA				
gamma_ln			GAMMA LN		C only	
gammaln		GAMMALN				
geometric		GEOMETRIC				
get_data_at_time			GET DATA AT TIME			to XMILE (coins GET_DATA_AT_TIME)
get_data_between_times			GET DATA BETWEEN TIMES		C+JS	
get_data_last_time			GET DATA LAST TIME			to XMILE (coins GET_DATA_LAST_TIME)
get_data_mean			GET DATA MEAN			to XMILE (coins GET_DATA_MEAN)
get_direct_constants			GET DIRECT CONSTANTS		C+JS	
get_direct_data			GET DIRECT DATA		C+JS	to XMILE (coins GET_DIRECT_DATA)
get_direct_lookups			GET DIRECT LOOKUPS		C+JS	
get_direct_subscript			GET DIRECT SUBSCRIPT		partial	
get_xls_constants			GET XLS CONSTANTS		C+JS	
